administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,project_value_rands,br_featured,featured,financial_year,budget_phase,amount_rands,project_slug
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Accessibility programme (phase 2),Accessibility of court facilities,"-25.714648, 28.347435",Upgrading and additions,Magistrate Offices,On-going,Not related to SIPs,105859000,,True,2016,Audited Outcome,95019000,justice-and-constitutional-development-accessibility-programme-phase-2
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Accessibility programme (phase 2),Accessibility of court facilities,"-25.714648, 28.347435",Upgrading and additions,Magistrate Offices,On-going,Not related to SIPs,105859000,,True,2017,Audited Outcome,19692000,justice-and-constitutional-development-accessibility-programme-phase-2
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Accessibility programme (phase 2),Accessibility of court facilities,"-25.714648, 28.347435",Upgrading and additions,Magistrate Offices,On-going,Not related to SIPs,105859000,,True,2018,Audited Outcome,11796000,justice-and-constitutional-development-accessibility-programme-phase-2
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Accessibility programme (phase 2),Accessibility of court facilities,"-25.714648, 28.347435",Upgrading and additions,Magistrate Offices,On-going,Not related to SIPs,105859000,,True,2019,Adjusted Appropriation,24932000,justice-and-constitutional-development-accessibility-programme-phase-2
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Accessibility programme (phase 2),Accessibility of court facilities,"-25.714648, 28.347435",Upgrading and additions,Magistrate Offices,On-going,Not related to SIPs,105859000,,True,2020,MTEF,67612000,justice-and-constitutional-development-accessibility-programme-phase-2
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Accessibility programme (phase 2),Accessibility of court facilities,"-25.714648, 28.347435",Upgrading and additions,Magistrate Offices,On-going,Not related to SIPs,105859000,,True,2021,MTEF,14831000,justice-and-constitutional-development-accessibility-programme-phase-2
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Accessibility programme (phase 2),Accessibility of court facilities,"-25.714648, 28.347435",Upgrading and additions,Magistrate Offices,On-going,Not related to SIPs,105859000,,True,2022,MTEF,15572550,justice-and-constitutional-development-accessibility-programme-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Bambanana pipeline,Construction of a new bulk water supply system,"-27.138787, 32.063207",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 18. Water and sanitation master plan,301307000,,True,2016,Audited Outcome,0,water-and-sanitation-bambanana-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Bambanana pipeline,Construction of a new bulk water supply system,"-27.138787, 32.063207",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 18. Water and sanitation master plan,301307000,,True,2017,Audited Outcome,0,water-and-sanitation-bambanana-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Bambanana pipeline,Construction of a new bulk water supply system,"-27.138787, 32.063207",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 18. Water and sanitation master plan,301307000,,True,2018,Audited Outcome,5428000,water-and-sanitation-bambanana-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Bambanana pipeline,Construction of a new bulk water supply system,"-27.138787, 32.063207",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 18. Water and sanitation master plan,301307000,,True,2019,Adjusted Appropriation,0,water-and-sanitation-bambanana-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Bambanana pipeline,Construction of a new bulk water supply system,"-27.138787, 32.063207",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 18. Water and sanitation master plan,301307000,,True,2020,MTEF,24612000,water-and-sanitation-bambanana-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Bambanana pipeline,Construction of a new bulk water supply system,"-27.138787, 32.063207",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 18. Water and sanitation master plan,301307000,,True,2021,MTEF,115660000,water-and-sanitation-bambanana-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Bambanana pipeline,Construction of a new bulk water supply system,"-27.138787, 32.063207",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 18. Water and sanitation master plan,301307000,,True,2022,MTEF,200000000,water-and-sanitation-bambanana-pipeline
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Booysens magistrate’s office,Construction of a new building,"-26.2621404, 28.0295043",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,287983000,,True,2016,Audited Outcome,64243000,justice-and-constitutional-development-booysens-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Booysens magistrate’s office,Construction of a new building,"-26.2621404, 28.0295043",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,287983000,,True,2017,Audited Outcome,138548000,justice-and-constitutional-development-booysens-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Booysens magistrate’s office,Construction of a new building,"-26.2621404, 28.0295043",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,287983000,,True,2018,Audited Outcome,77385385,justice-and-constitutional-development-booysens-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Booysens magistrate’s office,Construction of a new building,"-26.2621404, 28.0295043",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,287983000,,True,2019,Adjusted Appropriation,3364000,justice-and-constitutional-development-booysens-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Booysens magistrate’s office,Construction of a new building,"-26.2621404, 28.0295043",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,287983000,,True,2020,MTEF,10000000,justice-and-constitutional-development-booysens-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Booysens magistrate’s office,Construction of a new building,"-26.2621404, 28.0295043",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,287983000,,True,2021,MTEF,5000000,justice-and-constitutional-development-booysens-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Booysens magistrate’s office,Construction of a new building,"-26.2621404, 28.0295043",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,287983000,,True,2022,MTEF,0,justice-and-constitutional-development-booysens-magistrates-office
National,Correctional Services,"Justice, Crime Prevention and Security",Burgersdorp correctional centre,"Provision of 311 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-30.994058, 26.309326",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,298000000,,True,2016,Audited Outcome,0,correctional-services-burgersdorp-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Burgersdorp correctional centre,"Provision of 311 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-30.994058, 26.309326",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,298000000,,True,2017,Audited Outcome,2749000,correctional-services-burgersdorp-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Burgersdorp correctional centre,"Provision of 311 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-30.994058, 26.309326",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,298000000,,True,2018,Audited Outcome,5114510,correctional-services-burgersdorp-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Burgersdorp correctional centre,"Provision of 311 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-30.994058, 26.309326",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,298000000,,True,2019,Adjusted Appropriation,37511000,correctional-services-burgersdorp-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Burgersdorp correctional centre,"Provision of 311 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-30.994058, 26.309326",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,298000000,,True,2020,MTEF,33802000,correctional-services-burgersdorp-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Burgersdorp correctional centre,"Provision of 311 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-30.994058, 26.309326",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,298000000,,True,2021,MTEF,83337000,correctional-services-burgersdorp-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Burgersdorp correctional centre,"Provision of 311 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-30.994058, 26.309326",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,298000000,,True,2022,MTEF,90000000,correctional-services-burgersdorp-correctional-centre
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,Departmental Head Office Building,PPP Office Accommodation Pretoria Head Office,"-25.7379, 28.2028",New infrastructure assets,Building,Handed over,SIP 8: Green energy in support of the South African economy,2500000000,,True,2016,Audited Outcome,136864000,environment-forestry-and-fisheries-departmental-head-office-building
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,Departmental Head Office Building,PPP Office Accommodation Pretoria Head Office,"-25.7379, 28.2028",New infrastructure assets,Building,Handed over,SIP 8: Green energy in support of the South African economy,2500000000,,True,2017,Audited Outcome,144343000,environment-forestry-and-fisheries-departmental-head-office-building
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,Departmental Head Office Building,PPP Office Accommodation Pretoria Head Office,"-25.7379, 28.2028",New infrastructure assets,Building,Handed over,SIP 8: Green energy in support of the South African economy,2500000000,,True,2018,Audited Outcome,0,environment-forestry-and-fisheries-departmental-head-office-building
National,"Environment, Forestry and Fisheries",Economic Services and Infrastructure,Departmental Head Office Building,PPP Office Accommodation Pretoria Head Office,"-25.7379, 28.2028",New infrastructure assets,Building,Handed over,SIP 8: Green energy in support of the South African economy,2500000000,,True,2019,Adjusted Appropriation,159138000,environment-forestry-and-fisheries-departmental-head-office-building
